Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Nuclear,TWh,0.0,0.0,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Onshore wind,TWh,0.0,0.0,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Other fossil,TWh,2.98,-0.22,-6.88
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Other renewables,TWh,0.0,0.0,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Fuel,Solar,TWh,0.0,0.0,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Total,Total generation,TWh,49.89,-0.27,-0.54
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity imports,Electricity imports,Net imports,TWh,0.55,-0.22,-28.57
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Clean,MtCO2e,1.11,0.1,9.9
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Coal,MtCO2e,4.02,-2.7,-40.18
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Fossil,MtCO2e,8.95,-3.22,-26.46
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,"Hydro, bioenergy and other renewables",MtCO2e,1.11,0.1,9.9
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Renewables,MtCO2e,1.11,0.1,9.9
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Wind,MtCO2e,0.0,0.0,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Aggregate fuel,Wind and solar,MtCO2e,0.0,0.0,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,CO2 intensity,CO2 intensity,gCO2e per kWh,201.64,,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Clean,MtCO2e,1.11,0.1,9.9
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Coal,MtCO2e,4.02,-2.7,-40.18
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Fossil,MtCO2e,8.95,-3.22,-26.46
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,"Hydro, bioenergy and other renewables",MtCO2e,1.11,0.1,9.9
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Renewables,MtCO2e,1.11,0.1,9.9
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Wind,MtCO2e,0.0,0.0,
Austria,AUT,1992,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Power sector emissions,Fuel,Wind and solar,MtCO2e,0.0,0.0,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity demand,Demand,Demand,TWh,50.58,0.14,0.28
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity demand,Demand per capita,Demand per capita,MWh,6.4,,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Clean,%,74.16,,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Coal,%,5.81,,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Fossil,%,25.84,,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,"Hydro, bioenergy and other renewables",%,74.16,,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Renewables,%,74.16,,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind,%,0.0,,
Austria,AUT,1993,Country or economy,Europe,Europe,1.0,1.0,0.0,0.0,0.0,Electricity generation,Aggregate fuel,Wind and solar,%,0.0,,
